new,host,a,cname,soa,status_code,aaaa,txt,cdn,cdn-name,ns,mx,caa,has_internal_ips,internal_ips
,www-verificatie-src.rabobank.nl,145.72.108.36,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www-verificatie.rabobank.nl,"2.16.187.104, 2.16.187.88","www-verificatie.rabobank.nl.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:6c00::210:bb68, 2a02:26f0:6c00::210:bb58",,,,,,,,
,www-verification-src.rabobank.com,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www-verification.rabobank.com,"2.17.100.145, 2.17.100.131","www-verification.rabobank.com.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,www.creditconnect.rabobank.com,20.50.54.114,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,True,azure,,,,,
,www.ds.rabobank.nl,"95.101.74.143, 95.101.74.141",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,"2a02:26f0:c900:9::5f65:4a8d, 2a02:26f0:c900:9::5f65:4a8f",,,,,,,,
,www.economics.rabobank.com,"62.112.237.15, 96.7.49.67, 184.26.160.64, 95.101.36.65, 95.100.175.66",economics.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,2a02:26f0:67::42,v=spf1 -all,,,"a1-191.akam.net, a20-66.akam.net, a3-67.akam.net, a7-64.akam.net, a18-65.akam.net, a12-64.akam.net",,,,
,www.economie.rabobank.com,62.112.237.16,economie.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www.go.rabobank.nl,,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www.mo.rabobank.nl,"95.101.111.145, 95.101.111.147",,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,"2a02:26f0:480:23::1726:628a, 2a02:26f0:480:23::1726:629d",,,,,,,,
,www.organisatie.rabobank.nl,193.78.80.60,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www.rabobank.com,"62.115.252.72, 62.115.252.48","www.rabobank.com.edgekey.net, e75898.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
,www.rabobank.nl,"96.16.54.186, 96.16.54.131","www.rabobank.nl.edgekey.net, e81204.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:d8::1740:c33, 2a02:26f0:d8::1740:c3b",,,,,,,,
,www.ruralclientphoto.rabobank.com,20.76.216.101,ruralclientphoto.rabobank.com,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,v=spf1 -all,,,"a3-67.akam.net, a18-65.akam.net, a20-66.akam.net, a12-64.akam.net, a7-64.akam.net, a1-191.akam.net",,,,
,www.secure1.rabobank.nl,193.79.80.28,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,www.warrants.rabobank.nl,80.79.193.227,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,wwwacceptatie-src.rabobank.nl,145.72.99.1,,"a1-191.akam.net, domainmanagement.rabobank.nl",NOERROR,,,,,,,,,
,wwwstaging.rabobank.nl,,"wwwstaging.rabobank.nl.edgekey.net, e114034.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
