input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,final_url,tls_mismatched,cdn_name,cdn,csp_domains_,tls_expired,tls_self_signed
shop.apac.htc.com,HTC Deutschland,200,46522,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://shop.apac.htc.com:443,https,nginx,text/html,GET,45.60.33.126,/,-1555758716,45.60.33.126,Nginx,1068,False,HTC Corporation,True,https://www.htc.com/de/,,incapsula,True,https:,,
shop.au.htc.com,HTC Deutschland,200,46522,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://shop.au.htc.com:443,https,nginx,text/html,GET,45.60.33.126,/,-1555758716,45.60.33.126,Nginx,1068,False,HTC Corporation,True,https://www.htc.com/de/,,incapsula,True,https:,,
smetrics.htc.com,,200,,smetrics.htc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-03-08T23:59:59Z,"CN=*.sc.omtrdc.net, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",*.sc.omtrdc.net,sc.omtrdc.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5aea0482f5687fba1e7b20b2977a3e7a,1a773e957c8bb8819956df96b254fce6c3d34e51c3a7073ffe3ac7833bfc089f,ctls,smetrics.htc.com,443,https://smetrics.htc.com:443,https,jag,,GET,63.140.62.160,/,1936786007,63.140.62.135,,1,False,Adobe Systems Incorporated,True,,True,,,,,
social.htc.com,cloud,503,11009,www.oracle.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-07T00:00:00Z,2024-07-06T23:59:59Z,"CN=www-cs-02.oracle.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",www-cs-02.oracle.com,analystconnect.oracle.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,12d2be4a43d8b57c673330bfc49207f3,196b7ff17852891a3c0669b6ee68935489ee13c4d7be7a67abca1969260e1de6,ctls,www.oracle.com,443,https://social.htc.com:443,https,AkamaiNetStorage,text/html,GET,160.34.0.153,/,-1673340584,160.34.0.153,Akamai,220,False,Oracle Corporation,,https://www.oracle.com/splash/cloud/index.html,,,,https://blogs.oracle.com,,
sqa.htc.com,,403,75,sqa.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,sqa.htc.com,443,https://sqa.htc.com:443,https,,text/html,GET,23.37.37.162,/,-297782484,23.37.37.162,,3,False,HTC Corporation,,,,,,,,
sso.htc.com,HTC – System,200,6575,sso.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,sso.htc.com,443,https://sso.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-673375688,2a02:26f0:1700:184::1e5e,Nginx,94,False,HTC Corporation,,https://sso.htc.com/sso/login,,,,,,
ssrs-eu-e2e.htc.com,,403,75,ssrs-eu-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ssrs-eu-e2e.htc.com,443,https://ssrs-eu-e2e.htc.com:443,https,,text/html,GET,23.37.37.162,/,-297782484,23.37.37.162,,3,False,HTC Corporation,,,,,,,,
store.htc.com,404 Not Found,404,275,,,,,,,,,,,,,,,,,,80,http://store.htc.com:80,http,Apache,text/html,GET,45.60.33.126,/,-1555758716,45.60.33.126,Varnish:6.6,8,False,,,,,incapsula,True,*.digitalriver.com,,
test-e2e.htc.com,404 - File or directory not found.,404,1245,test-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,test-e2e.htc.com,443,https://test-e2e.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Nginx,30,False,HTC Corporation,,https://test-e2e.htc.com/E2ECCWS/index.html,,,,,,
test.e2e.htc.com,Error,404,74,test.e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,test.e2e.htc.com,443,https://test.e2e.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,-1463124301,23.201.250.189,Nginx,1,False,HTC Corporation,,https://test.e2e.htc.com/E2ECCWS/index.html,,,,,,
todobot.htc.com,TODO,200,991,todobot.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,todobot.htc.com,443,https://todobot.htc.com:443,https,istio-envoy,text/html,GET,23.37.37.162,/,1593207841,23.37.37.162,Node.js,34,False,HTC Corporation,,,,,,,,
todoproxy.htc.com,HTTP Status 404 – Not Found,404,431,todoproxy.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,todoproxy.htc.com,443,https://todoproxy.htc.com:443,https,istio-envoy,text/html,GET,23.37.37.162,/,-230353730,23.37.37.162,Envoy,1,False,HTC Corporation,,,,,,,,
tracking.e2e.asia.htc.com,,200,653,tracking.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,tracking.e2e.asia.htc.com,443,https://tracking.e2e.asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
ualmt.htc.com,,403,75,ualmt.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ualmt.htc.com,443,https://ualmt.htc.com:443,https,,text/html,GET,23.37.37.162,/,-297782484,23.37.37.162,,3,False,HTC Corporation,,,,,,,,
uhoh-cr.htc.com,,503,62,uhoh-cr.htc.com,443,True,tls12,TLS_RSA_WITH_AES_256_CBC_SHA,2023-07-21T00:00:00Z,2024-07-30T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,18e6340b92517b1bcb3ba149387fbc03,ab20958e933a291caba5a1b57578641c0a7ba50468b7b42469b78375d7aabca5,ctls,uhoh-cr.htc.com,443,https://uhoh-cr.htc.com:443,https,,,GET,114.30.34.15,/,107704025,114.30.34.15,,1,False,HTC Corporation,True,,,,,,,
util-e2e-asia.htc.com,,200,39,util-e2e-asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,util-e2e-asia.htc.com,443,https://util-e2e-asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Nginx,5,False,HTC Corporation,,,,,,,,
util-e2e.htc.com,,200,39,util-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,util-e2e.htc.com,443,https://util-e2e.htc.com:443,https,nginx,text/html,GET,23.56.201.178,/,1631801191,23.56.201.178,Nginx,5,False,HTC Corporation,,,,,,,,
util.e2e.asia.htc.com,,200,653,util.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,util.e2e.asia.htc.com,443,https://util.e2e.asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
util.e2e.htc.com,,200,653,util.e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,util.e2e.htc.com,443,https://util.e2e.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,-1666561833,23.201.250.189,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
viveland.htc.com,,200,232,viveland.htc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2020-04-24T00:00:00Z,2022-07-24T12:00:00Z,"CN=*.htc.com, OU=IT, O=HTC Corporation, L=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,915ce7e094730064f828bbfa6b8d6bbb,a73b95cb6643a5480233397cc19a582feca3355e9afafa6711cda00b9730acf7,ctls,viveland.htc.com,443,https://viveland.htc.com:443,https,Microsoft-IIS/8.5,text/html,GET,114.30.34.19,/,773466165,114.30.34.19,Windows Server,13,False,HTC Corporation,True,,,,,,True,
ws1-e2e-asia.htc.com,,200,248,ws1-e2e-asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ws1-e2e-asia.htc.com,443,https://ws1-e2e-asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,1631801191,23.37.37.162,Nginx,11,False,HTC Corporation,,https://ws1-e2e-asia.htc.com/NoPermissions.html?aspxerrorpath=/E2EIntegration.asmx,,,,,,
ws1-e2e.htc.com,,200,248,ws1-e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ws1-e2e.htc.com,443,https://ws1-e2e.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,1631801191,23.201.250.189,Nginx,11,False,HTC Corporation,,https://ws1-e2e.htc.com/NoPermissions.html?aspxerrorpath=/E2EIntegration.asmx,,,,,,
ws1.e2e.asia.htc.com,,200,653,ws1.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ws1.e2e.asia.htc.com,443,https://ws1.e2e.asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
ws2.e2e.asia.htc.com,,200,653,ws2.e2e.asia.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ws2.e2e.asia.htc.com,443,https://ws2.e2e.asia.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
ws2.e2e.htc.com,,200,653,ws2.e2e.htc.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-07-14T00:00:00Z,2024-03-22T23:59:59Z,"CN=start.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",start.htc.com,zoodles.htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1d6a9e3f997d2da86160e91681ea6b1c,d0d9ad157f3bfa8df09a05027815d2ddd393e044d9e6b5a43809da1b2c0c3823,ctls,ws2.e2e.htc.com,443,https://ws2.e2e.htc.com:443,https,nginx,text/html,GET,23.37.37.162,/,-1666561833,23.37.37.162,Nginx,18,False,HTC Corporation,,,,,,url=https://sso.htc.com/sso/login,,
www.csr.htc.com,永續發展 - 宏達電,200,62750,www.htc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.htc.com, O=HTC Corporation, ST=Taoyuan City, C=TW",*.htc.com,htc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c81ac27f95da3e42cc3422f4f87236a7,5afe13ff6a7d8e6ef1c34188cbb69d77d540a20a4a2711f9baca1d1324daf37b,ctls,www.htc.com,443,https://www.csr.htc.com:443,https,nginx,text/html,GET,23.201.250.189,/,-1650018565,23.201.250.189,Nginx,1430,False,HTC Corporation,True,https://www.htc.com/tw/esg/,,,,https:,,
zendesk1.htc.com,,409,16,,,,,,,,,,,,,,,,,,80,http://zendesk1.htc.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,,,,,cloudflare,True,,,
zendesk3.htc.com,,409,16,,,,,,,,,,,,,,,,,,80,http://zendesk3.htc.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,,,,,cloudflare,True,,,
zendesk4.htc.com,,409,16,,,,,,,,,,,,,,,,,,80,http://zendesk4.htc.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,,,,,cloudflare,True,,,
