new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,mx,ns,txt,has_internal_ips,internal_ips,caa
,harababura.emails.bbc.com,,,,NOERROR,,,,,,,,,
,heartbeat.activity.api.bbc.com,"108.128.23.203, 54.171.246.172, 52.49.175.194","uas-a127-heartbeat.live.24ca1eb415514906.xhst.bbci.co.uk, live-a127-apiman-heartbeat-alb-1706383620.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,heartbeat.activity.int.api.bbc.com,"99.80.61.112, 34.255.243.153","uas-a127-heartbeat.int.fdca55c56af24a70.xhst.bbci.co.uk, int-a127-apiman-heartbeat-alb-1581538256.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,heartbeat.activity.stage.api.bbc.com,"54.76.88.163, 54.155.104.35","uas-a127-heartbeat.stage.fdca55c56af24a70.xhst.bbci.co.uk, stage-a127-apiman-heartbeat-alb-1246325183.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,heartbeat.activity.test.api.bbc.com,"52.48.173.253, 34.246.254.64","uas-a127-heartbeat.test.fdca55c56af24a70.xhst.bbci.co.uk, test-a127-apiman-heartbeat-alb-1669762556.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,help.store.bbc.com,"23.38.98.208, 23.38.98.221","store.bbc.com-v3.edgekey.net, e71911.dscj.akamaiedge.net","n0dscj.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:1700:5::5f65:1b76, 2a02:26f0:1700:5::5f65:1b72",,,,,,,,
,hybrid.bbc.com,132.185.158.46,hybrid-autodiscover.eglb.bbc.co.uk,"ns1.eglb.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
,idcta-origin.api.bbc.com,"54.171.21.239, 52.18.136.162, 54.77.227.236",idcta.id.c121be2a55e13acd.xhst.bbci.co.uk,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,idcta-origin.int.api.bbc.com,"52.213.177.199, 52.18.121.237",idcta-origin.int.id.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,idcta-origin.stage.api.bbc.com,52.209.115.191,idcta-origin.stage.id.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,idcta-origin.test.api.bbc.com,"52.49.42.184, 34.255.65.78",idcta.test.id.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,idcta.api.bbc.com,2.17.190.51,"idcta-cdn.api.bbc.com.edgekey.net, e3891.dscf.akamaiedge.net","n0dscf.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:7100:79e::f33, 2a02:26f0:7100:787::f33, 2a02:26f0:7100:7bd::f33, 2a02:26f0:7100:792::f33, 2a02:26f0:7100:7ac::f33",,,,,,,,
,image.bbcamerica.bbc.com,"2.21.242.236, 2.21.242.229","images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net, a1051.g.akamai.net.0.1.cn.akamaitech.net","n0cn.akamaitech.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
