new,host,a,cname,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name
,investors.kinepolis.com,"2.16.186.9, 2.16.186.17","kinepolis.edgesuite.net, a1935.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",,,,,
,io.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ion9.roslin.www.youtube.collabwww.people.com.cn.kinepolis.lu,"23.76.204.146, 23.76.204.149",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-lu.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a1-67.akam.net, a6-66.akam.net, a4-67.akam.net, a5-66.akam.net","facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s",,
,iowa.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,iowrb-www420.kinepolis.fr,"23.55.163.8, 23.55.163.5",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a24-67.akam.net, a13-66.akam.net, a5-66.akam.net, a1-67.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,ipad.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,iplanet.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ipsec-gw.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ipsec.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ipv4-c032-atl004-ix.gov.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ireland.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,irvine.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,is.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,ism.kinepolis.ch,,kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:64::210:6b89, 2a02:26f0:64::210:6bc2",,,,,
,jackdaw-sample.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,japan.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,jeetutmaven.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,jobs.kinepolis.com,212.113.65.43,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,jquerycookie.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,jsonsl.kinepolis.com,,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,juliet.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,juliette.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,k.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,k2.kinepolis.ch,"23.55.163.5, 23.55.163.8",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a1-67.akam.net, a5-66.akam.net, a13-66.akam.net","MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
,k2.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,k2.kinepolis.lu,"2.16.186.17, 2.16.186.9",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s",,
,k3.kinepolis.ch,"92.122.101.26, 92.122.101.58",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:fe00::5c7a:651a, 2a02:26f0:fe00::5c7a:653a",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a4-67.akam.net, a24-67.akam.net, a5-66.akam.net, a13-66.akam.net, a1-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
,k3.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,k4.kinepolis.ch,"23.55.163.8, 23.55.163.5",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-ch.mail.protection.outlook.com,"a24-67.akam.net, a5-66.akam.net, a13-66.akam.net, a6-66.akam.net, a4-67.akam.net, a1-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
,k4.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,k5.kinepolis.ch,"23.50.131.219, 23.50.131.223",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,kinepolis-ch.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net, a6-66.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331",,
,k5.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,k5.kinepolis.lu,"23.76.204.146, 23.76.204.149",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis-lu.mail.protection.outlook.com,"a6-66.akam.net, a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a13-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f",,
,kabokimask.kinepolis.lu,"95.101.54.211, 95.101.54.114",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:780::5f65:36d3, 2a02:26f0:780::5f65:3672",kinepolis-lu.mail.protection.outlook.com,"a4-67.akam.net, a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a6-66.akam.net, a1-67.akam.net","facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,kaffemaskiner.kinepolis.lu,"92.122.101.26, 92.122.101.58",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:fe00::5c7a:651a, 2a02:26f0:fe00::5c7a:653a",kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,kansascity.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kappa.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kaviruspnet.kinepolis.ch,"184.25.50.136, 184.25.50.176",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3100::1735:287a, 2a02:26f0:3100::1735:2872",kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a1-67.akam.net, a13-66.akam.net, a5-66.akam.net","MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
,kbc.kinepolis.com,"13.107.237.45, 13.107.238.45","kbc-prd-cdn001.azureedge.net, kbc-prd-cdn001.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net","ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",,,,,
,kfd.kinepolis.com,91.230.178.99,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,mx1.slgnt.eu,,"google-site-verification=b-hIeJv1O-NHrd2xIssAGZqs7cOQmP1IaNoFKu-8YWI, v=spf1 a mx include:spf.slgnt.eu -all",,
,khousewww.kinepolis.be,"188.93.155.238, 188.93.155.241",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,ki.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kiarchivewww.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kiarchivwww.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kiarchiwww.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,kiarchwww.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kilo.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kinepolis.be,,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,kinepolis.com,"23.55.161.155, 23.55.161.167",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-com.mail.protection.outlook.com,"a4-67.akam.net, a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a24-67.akam.net, a13-66.akam.net","apple-domain-verification=qIEKdL7iHUEH8k8y, have-i-been-pwned-verification=8eb018fb6a19e45620e7ae8336e58f84, kbc-prd-api-mt-public-001.azurewebsites.net, amazonses:yiI0tq57DjEdXZTJpHOqbz0XHn4nQFOmhLIU0yblfpA=, amazonses:F6auh+yGMWvmOa/p/jl4hQJVNtPHvO5fZ8gqsV165vk=, v=spf1 include:spf.kinepolis.com a ip4:217.73.9.208/28 ip4:89.36.74.155 ip4:81.246.10.115 include:spf.icontroller.eu include:_spf.afasonline.nl include:eskerondemand.com -all, MS=ms90440608, google-site-verification=mtWZzH-FLgaDPdWUBDdwnaY9P-edcAMrRpRMu9MgnsY, xgDfOJ8Q+5n8MOlFgBQ0fk4TO5dnui+oEQNEqyx43D4=, facebook-domain-verification=52zjp7n47lix31kbqu9fcmyo5yvydd, google-site-verification=B_Yku8F9hyuI5nVfiQjIQMHzSyTMDXU0dviuiJjgz2E, 31LONWZW8E3X8LLYUFBJGK2EXIB1B1TQW0AUFOSD, VMK6Z1LmiO+y4tGZ40pMUeZoOnEQl/RnzhaALSP2gwhdgtAecKdISwoNMEPOB8B4unONueG1JwSKR9/3YERGfg==",,
,kinepolis.lu,"88.221.132.193, 88.221.132.82",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:4600::213:cce9, 2a02:26f0:4600::213:cd1a",kinepolis-lu.mail.protection.outlook.com,"a6-66.akam.net, a4-67.akam.net, a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net","facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, v=spf1 include:spf.kinepolis.com -all",,
,kinepolis.nl,"95.101.74.200, 95.101.74.196",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis-nl.mail.protection.outlook.com,"a24-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a1-67.akam.net","google-site-verification=iKlBeiFGH33SxZXHkriPu-tSsqjlnq1K-GToST9eH_s, MS=ms36470280, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=54ncqd4jsdsie84hq6bwclebsbmpgs",,
,king.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kinwww.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,kinwww.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kk.kinepolis.ch,"23.76.204.146, 23.76.204.149",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fc98, 2a02:26f0:b200::1748:fcab",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a6-66.akam.net, a5-66.akam.net, a13-66.akam.net, a1-67.akam.net, a24-67.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,kk.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kk.kinepolis.lu,"104.81.60.75, 104.81.60.72",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a",kinepolis-lu.mail.protection.outlook.com,"a6-66.akam.net, a24-67.akam.net, a13-66.akam.net, a5-66.akam.net, a1-67.akam.net, a4-67.akam.net","H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, v=spf1 include:spf.kinepolis.com -all",,
,kl-acc.kinepolis.com,"2.19.204.216, 2.19.204.224","acc.kinepolis.com.edgesuite.net, a1928.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:4600::210:67d8, 2a02:26f0:4600::210:67ca",,,,,
,kl-acc2.kinepolis.com,188.93.155.232,acc2.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kl-dev.kinepolis.com,"184.87.173.145, 184.87.173.200","dev.kinepolis.com.edgesuite.net, a1208.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,"2600:1408:7400::17c7:473b, 2600:1408:7400::17c7:4753",,,,,
,klubcinema.fr,"184.25.50.136, 184.25.50.176",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,klubcinema-fr.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a1-67.akam.net, a6-66.akam.net","MS=ms69414917, v=spf1 include:spf.protection.outlook.com -all, facebook-domain-verification=ekd7901cqpp9fkrd9oc59mjl93j4rg",,
,kn.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,koe.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,korona-na-monetach.kinepolis.ch,"23.55.163.5, 23.55.163.8",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net, a6-66.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
,korona-residence.kinepolis.lu,"23.55.163.8, 23.55.163.5",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a4-67.akam.net","facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,koronalakopark.kinepolis.lu,"185.225.250.74, 185.225.250.26, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a, 2600:1401:2::43, 2600:1480:9000::43, 2600:1401:1::42, 2600:1480:9800::43",kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a6-66.akam.net, a5-66.akam.net, a4-67.akam.net, a13-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,kortmaskin.kinepolis.fr,"2.16.186.9, 2.16.186.17",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
,kr.okta.com.employee-specialsurvey.kinepolis.ch,"23.76.204.149, 23.76.204.146",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a1-67.akam.net, a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a4-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all",,
,ksvirus.kinepolis.lu,"2.16.238.23, 2.16.238.24",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:480:3::210:ee94, 2a02:26f0:480:3::210:ee8d",kinepolis-lu.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a24-67.akam.net, a6-66.akam.net, a4-67.akam.net, a1-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
,ku1720.kinepolis.ch,"23.55.161.155, 23.55.161.167",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a5-66.akam.net, a1-67.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
,ku1720.kinepolis.lu,"23.55.161.155, 23.55.161.167",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a13-66.akam.net, a5-66.akam.net","google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f",,
,kube.okta.com.employee-specialsurvey.kinepolis.ch,"2.16.238.24, 2.16.238.23",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,"a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a6-66.akam.net, a4-67.akam.net, a5-66.akam.net","MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,kunstimuuseum.kinepolis.lu,"2.16.186.9, 2.16.186.17",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s",,
,kw.kinepolis.ch,"23.55.161.155, 23.55.161.167",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,"2a02:26f0:3100::1735:287a, 2a02:26f0:3100::1735:2872",kinepolis-ch.mail.protection.outlook.com,"a4-67.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a6-66.akam.net, a13-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
,kw.kinepolis.com,"188.93.155.238, 188.93.155.241",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,kwww.kinepolis.be,"188.93.155.241, 188.93.155.238",,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,,
,kz.kinepolis.com,"188.93.155.241, 188.93.155.238",origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,,
,l.kinepolis.com,"2.16.186.17, 2.16.186.9","kinepolis.edgesuite.net, a1935.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,"2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",,,,,
