new,host,a,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,aaaa,has_internal_ips,internal_ips
,acadian7.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian70.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian71.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian72.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian73.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian74.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian76.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian78.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian79.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian8.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian81.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian82.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian83.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian84.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian85.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian86.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian87.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian88.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian89.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian90.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian911.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian92.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,acadian94.geotab.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
