new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,has_internal_ips,internal_ips
,b2btpatest.intel.com,192.198.167.21,b2btpatest.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,b2bwmtest.cps.intel.com,192.198.167.230,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bca-preview.eglb.intel.com,192.198.166.20,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bca-preview.intel.com,192.198.167.108,bcauser-preview.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bca.eglb.intel.com,198.175.96.177,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bca.intel.com,198.175.96.177,bca.eglb.intel.com,,NOERROR,,,,,,,,
,beforeyoubuypc.thailand.intel.com,,rebounder.intel.com,,NOERROR,,,,,,,,
,bizsupport.intel.com,23.222.53.96,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:fe00:39e::1ea2, 2a02:26f0:fe00:39c::1ea2",,,,,
,blogs.intel.com,13.91.95.74,,"ns1.intel.com, hostmaster.intel.com",NOERROR,True,azure,,,,,,
,bm-entitlementhub.intel.com,192.198.166.150,fmbmhub2wv.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bod.intel.com,198.175.96.77,bodvm.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bodvm.cps.intel.com,198.175.96.77,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bouncer.cps.intel.com,192.198.165.191,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bower.intel.com,,,,NOERROR,,,,,,,,
,bps.epp.intel.com,50.21.166.31,all-epp.epp.rideau.com,"ns1.rideau.com, dns.rideau.com",NOERROR,,,,,,,,
,bpstore.intel.com,50.21.166.31,bp-store.epp.rideau.com,"ns1.rideau.com, dns.rideau.com",NOERROR,,,,,,,,
,browseintel-dev.eglb.intel.com,192.198.165.243,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,browseintel.eglb.intel.com,192.198.165.239,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bsas.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bte01-alt.eglb.intel.com,192.198.164.155,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bte01.eglb.intel.com,,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bte01.intel.com,134.191.246.100,bte01.eglb.intel.com,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bte02.intel.com,192.198.164.156,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bte03.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,bteoa1.eglb.intel.com,134.191.246.240,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,build.hpdd.intel.com,207.108.8.151,vip-1.dc.hpdd.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,builders.intel.com,18.219.199.219,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,v=spf1 a mx -all,builders.intel.com,,,
,business-support.intel.com,,"intel11.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
,businessportal.intel.com,23.56.201.214,"intel11.cn.edgekey.net, e7842.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:6c00:185::1ea2, 2a02:26f0:6c00:19e::1ea2",,,,,
,businessportal001bench.cps.intel.com,192.198.166.137,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal001bench.intel.com,192.198.166.137,businessportal001bench.cps.intel.com,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,businessportal001cons.cps.intel.com,192.198.166.133,,,NOERROR,,,,,,,,
