new,host,a,cname,soa,caa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,ptr,ns
,ugc.bcc.nl,"13.32.121.5, 13.32.121.53, 13.32.121.28, 13.32.121.101","bcc-nl.ugc.bazaarvoice.com, d31hk0omqpq4zz.cloudfront.net","ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:2240:7400:11:6a57:33c0:93a1, 2600:9000:236e:1e00:11:6a57:33c0:93a1, 2600:9000:236e:9800:11:6a57:33c0:93a1, 2600:9000:236e:b800:11:6a57:33c0:93a1, 2600:9000:2240:1000:11:6a57:33c0:93a1, 2600:9000:2240:d000:11:6a57:33c0:93a1, 2600:9000:236e:6000:11:6a57:33c0:93a1, 2600:9000:236e:c800:11:6a57:33c0:93a1",True,cloudfront,,,,,,"ns-11.awsdns-01.com, ns-1026.awsdns-00.org, ns-1013.awsdns-62.net, ns-2005.awsdns-58.co.uk"
,ultipro-test.techsupport.bcc.nl,"76.76.21.98, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, sectigo.com, globalsign.com",NOERROR,,,,,,,,,
,us-east-1.techsupport.bcc.nl,"76.76.21.9, 76.76.21.142",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,us-east-2.techsupport.bcc.nl,"76.76.21.123, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,us-west-2.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,utilities-test.bcc.nl,40.118.100.127,"test-bcc-utilities-weu.azurewebsites.net, waws-prod-am2-169.vip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,utilities.bcc.nl,104.46.44.78,"prod-bcc-utilities-weu.azurewebsites.net, waws-prod-am2-055.vip.azurewebsites.windows.net, waws-prod-am2-055.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,v2.techsupport.bcc.nl,"76.76.21.164, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,vpn.techsupport.bcc.nl,"76.76.21.164, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,web.bcc.nl,20.101.201.207,"www.bcc.nl, app383809.prod.cudawaas.com, waas-prod-app-658bb53316ee966e5424f136c40a2180.trafficmanager.net, waasprod-app-d786c152dd1fd05854f37ff4ddb97a1f.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,web2.bcc.nl,20.101.201.207,"www.bcc.nl, app383809.prod.cudawaas.com, waas-prod-app-658bb53316ee966e5424f136c40a2180.trafficmanager.net, waasprod-app-d786c152dd1fd05854f37ff4ddb97a1f.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,webbackend.cdn.bcc.nl,"23.216.77.6, 23.216.77.13","prodbccwebbackend.azureedge.net, prodbccwebbackend.akstd.azureedge.net, azureedge.mdc.akamaized.net, a1879.dscw14.akamai.net","n0dscw14.akamai.net, hostmaster.akamai.com",,NOERROR,"2a02:26f0:480:3::210:ee86, 2a02:26f0:480:3::210:ee93",,,,,,,,
,webfrontend.cdn.bcc.nl,"2.19.198.104, 2.19.198.138","prodbccwebfrontend.azureedge.net, prodbccwebfrontend.akstd.azureedge.net, azureedge.mdc.akamaized.net, a1879.dscw14.akamai.net","n0dscw14.akamai.net, hostmaster.akamai.com",,NOERROR,"2a02:26f0:1700:d::1737:6e8f, 2a02:26f0:1700:d::1737:6ea4",,,,,,,,
,webmail.bcc.nl,"52.98.243.56, 52.98.152.184, 52.98.242.248, 52.98.243.24","autodiscover.bcc.nl, autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",,NOERROR,"2603:1026:200:8b::8, 2603:1026:c03:7067::8, 2603:1026:204::8, 2603:1026:c03:7078::8",,,,,,,,
,webmail13e.techsupport.bcc.nl,"76.76.21.142, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,webshop-acc.bcc.nl,13.95.238.192,"acc-bcc-shop-api-weu.azurewebsites.net, waws-prod-am2-099.sip.azurewebsites.windows.net, waws-prod-am2-099.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,webshop-test.bcc.nl,40.118.100.127,"test-bcc-shop-api-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,wehkamp-test.bcc.nl,40.118.100.127,"test-bcc-wehkamp-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,www-4-3-1.techsupport.bcc.nl,"76.76.21.9, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,www-acc.bcc.nl,13.95.238.192,"acc-bcc-shop-weu.azurewebsites.net, waws-prod-am2-099.sip.azurewebsites.windows.net, waws-prod-am2-099.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,www-staging.bcc.nl,13.69.68.71,"prod-bcc-shop-weu-staging.azurewebsites.net, waws-prod-am2-037a.sip.azurewebsites.windows.net, waws-prod-am2-037a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,www-test.bcc.nl,104.47.164.119,"test-bcc-shop-weu.azurewebsites.net, waws-prod-am2-131.vip.azurewebsites.windows.net, waws-prod-am2-131.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,www.bcc.nl,20.101.201.207,"app383809.prod.cudawaas.com, waas-prod-app-658bb53316ee966e5424f136c40a2180.trafficmanager.net, waasprod-app-d786c152dd1fd05854f37ff4ddb97a1f.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,,,,,,,
,www2.techsupport.bcc.nl,"76.76.21.93, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,zakelijk-acc.bcc.nl,52.233.164.195,"acc-bcc-b2b-shop-weu.azurewebsites.net, waws-prod-am2-133.vip.azurewebsites.windows.net, waws-prod-am2-133.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,zakelijk.bcc.nl,52.233.164.195,"prod-bcc-b2b-shop-weu.azurewebsites.net, waws-prod-am2-133.vip.azurewebsites.windows.net, waws-prod-am2-133.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
