new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,txt,caa,mx,has_internal_ips,internal_ips
[x],196-39.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:56b, 2606:4700::6812:46b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],1christian.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],1ibq.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],2-33.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:56b, 2606:4700::6812:46b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],2-5-9.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],205-185-203-62.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:56b, 2606:4700::6812:46b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],20forms.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],21-7-2-2.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],23-2.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],23-4-7.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:56b, 2606:4700::6812:46b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],23-86.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:56b, 2606:4700::6812:46b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],236-2-9.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],24-0-7-2-8.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],24-3.identity.flexport.com,"104.18.4.107, 104.18.5.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],24-370-7.identity.flexport.com,"104.18.5.107, 104.18.4.107","2606:4700::6812:46b, 2606:4700::6812:56b",ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],26-76-4.identity.flexport.com,,,ingress.identity.flexport.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
