new,host,a,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,aaaa,caa,has_internal_ips,internal_ips
,ma-78784.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ma-8524.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ma-8594.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ma-9392.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ma-9837.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"ns-1143.awsdns-14.org, ns-1719.awsdns-22.co.uk, ns-498.awsdns-62.com, ns-772.awsdns-32.net",,,,
,ma.payoneer.com,35.190.33.81,ma-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,mail10.payoneer.com,193.104.115.5,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,mail6136.email.payoneer.com,74.112.64.64,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,mail6136.email.payoneer.com,v=spf1 ip4:74.112.64.64 -all,,,,,
,maintenance.payoneer.com,91.143.226.5,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,miss-sftp.payoneer.com,51.137.46.28,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,True,azure,,,,,,,
,miss-sftp.sandbox.payoneer.com,20.101.111.141,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,mobile.payoneer.com,35.190.33.81,"www.payoneer.com, www-payoneer-com.payoneerx.prod2.reblaze.com","ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,mobileapi.sandbox.payoneer.com,130.211.36.192,mobileapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,mobileapi2.payoneer.com,104.155.42.137,"mobileapi2.payoneer.prod2.reblaze.com, api-payoneer-com.payoneer.prod2.reblaze.com","ns-468.awsdns-58.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,msoid.payoneer.com,"20.190.159.2, 20.190.159.4, 20.190.159.23, 20.190.159.68, 20.190.159.73, 20.190.159.75, 40.126.31.67, 20.190.159.0","clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net","internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
,myaccount.payoneer.com,35.190.33.81,o-myaccount-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,myinfo.payoneer.com,35.190.33.81,myinfo-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,myinfo.sandbox.payoneer.com,,myinfo-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,nav.payoneer.com,,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,new.payoneer.com,75.101.151.91,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,open.email.payoneer.com,,"open.mkt32.net, d2m6eox1jui3bk.cloudfront.net","ns-1016.awsdns-63.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,
,otp.payoneer.com,193.104.115.130,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,pa.sandbox.payoneer.com,130.211.36.192,pa-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
