new,host,a,soa,ns,status_code,cname,mx,txt,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],beta-community.sendcloud.com,"162.159.138.52, 162.159.128.53","ns-1048.awsdns-03.org, awsdns-hostmaster.amazon.com","ns-1048.awsdns-03.org, ns-134.awsdns-16.com, ns-2033.awsdns-62.co.uk, ns-928.awsdns-52.net",NOERROR,"ssl.mn.co, edge.mn.co",,,True,cloudflare,,,,
[x],betaec-services.carriersdk.sendcloud.com,"3.68.81.75, 3.123.111.203, 18.159.140.23","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bid47cz.carriersdk.sendcloud.com,,"ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],bid47rh.carriersdk.sendcloud.com,,"ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],blogacc-extranet.carriersdk.sendcloud.com,"3.68.81.75, 18.159.140.23, 3.123.111.203","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],carriersdk.shared.sendcloud.com,"35.157.161.78, 3.72.55.244, 52.57.218.212","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],cdiscount.sendcloud.com,"3.123.111.203, 3.68.81.75, 18.159.140.23","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,eks-third-party-c0a1b12ae2dbb1f3.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],cdn.sendcloud.com,"18.244.146.95, 18.244.146.91, 18.244.146.75, 18.244.146.129, 205.251.193.31","ns-287.awsdns-35.com, awsdns-hostmaster.amazon.com","ns-287.awsdns-35.com, ns-686.awsdns-21.net, ns-1203.awsdns-22.org, ns-1621.awsdns-10.co.uk",NOERROR,d37w4jjhg2pla3.cloudfront.net,,,True,cloudfront,,,,
[x],chefalphaaltappaws.carriersdk.sendcloud.com,"18.159.140.23, 3.123.111.203, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],commerce-solr.carriersdk.sendcloud.com,"3.123.111.203, 3.68.81.75, 18.159.140.23","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cosmos.sendcloud.com,"52.51.23.169, 63.33.17.94, 54.195.237.234, 205.251.192.103, 205.251.195.234, 205.251.197.159, 205.251.199.199","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","ns-1002.awsdns-61.net, ns-1991.awsdns-56.co.uk, ns-103.awsdns-12.com, ns-1439.awsdns-51.org",NOERROR,zeroheight.com,"alt1.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","MS=ms44942321, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, detectify-verification=969838a510dd75807234eecda55b8edc",,,,,,
